time_s,drag_force_negative,drag_force_magnitude
4.99,-1.715133,1.715133
5.0,-1.715127,1.715127
5.01,-1.71507,1.71507
5.02,-1.715005,1.715005
5.03,-1.714942,1.714942
5.04,-1.714866,1.714866
5.05,-1.714791,1.714791
5.06,-1.714744,1.714744
5.07,-1.714696,1.714696
5.08,-1.714653,1.714653
5.09,-1.714619,1.714619
5.1,-1.714602,1.714602
5.11,-1.714607,1.714607
5.12,-1.714574,1.714574
5.13,-1.714509,1.714509
5.14,-1.714454,1.714454
5.15,-1.714396,1.714396
5.16,-1.714321,1.714321
5.17,-1.714282,1.714282
5.18,-1.71423,1.71423
5.19,-1.714149,1.714149
5.2,-1.714049,1.714049
5.21,-1.713947,1.713947
5.22,-1.713922,1.713922
5.23,-1.713907,1.713907
5.24,-1.713851,1.713851
5.25,-1.713779,1.713779
5.26,-1.713754,1.713754
5.27,-1.713748,1.713748
5.28,-1.713758,1.713758
5.29,-1.713774,1.713774
5.3,-1.713846,1.713846
5.31,-1.713941,1.713941
5.32,-1.714072,1.714072
5.33,-1.714203,1.714203
5.34,-1.714335,1.714335
5.35,-1.714482,1.714482
5.36,-1.714639,1.714639
5.37,-1.714854,1.714854
5.38,-1.715094,1.715094
5.39,-1.715374,1.715374
5.4,-1.715698,1.715698
5.41,-1.716002,1.716002
5.42,-1.71632,1.71632
5.43,-1.716678,1.716678
5.44,-1.717071,1.717071
5.45,-1.717474,1.717474
5.46,-1.717887,1.717887
5.47,-1.718287,1.718287
5.48,-1.718747,1.718747
5.49,-1.719201,1.719201
5.5,-1.719679,1.719679
5.51,-1.720154,1.720154
5.52,-1.720645,1.720645
5.53,-1.721134,1.721134
5.54,-1.721674,1.721674
5.55,-1.722202,1.722202
5.56,-1.722754,1.722754
5.57,-1.723297,1.723297
5.58,-1.723848,1.723848
5.59,-1.724413,1.724413
5.6,-1.724953,1.724953
5.61,-1.725479,1.725479
5.62,-1.726046,1.726046
5.63,-1.726625,1.726625
5.64,-1.727198,1.727198
5.65,-1.727732,1.727732
5.66,-1.728281,1.728281
5.67,-1.728792,1.728792
5.68,-1.729346,1.729346
5.69,-1.729876,1.729876
5.7,-1.730387,1.730387
5.71,-1.730884,1.730884
5.72,-1.731401,1.731401
5.73,-1.731904,1.731904
5.74,-1.732412,1.732412
5.75,-1.732926,1.732926
5.76,-1.733394,1.733394
5.77,-1.73383,1.73383
5.78,-1.734236,1.734236
5.79,-1.734627,1.734627
5.8,-1.735027,1.735027
5.81,-1.735424,1.735424
5.82,-1.735853,1.735853
5.83,-1.736223,1.736223
5.84,-1.736518,1.736518
5.85,-1.736773,1.736773
5.86,-1.736999,1.736999
5.87,-1.737208,1.737208
5.88,-1.737483,1.737483
5.89,-1.737745,1.737745
5.9,-1.73806,1.73806
5.91,-1.738349,1.738349
5.92,-1.738571,1.738571
5.93,-1.738744,1.738744
5.94,-1.738873,1.738873
5.95,-1.739002,1.739002
5.96,-1.739121,1.739121
5.97,-1.739205,1.739205
5.98,-1.739285,1.739285
5.99,-1.739365,1.739365
6.0,-1.739461,1.739461
6.01,-1.739542,1.739542
6.02,-1.739632,1.739632
6.03,-1.739696,1.739696
6.04,-1.739712,1.739712
6.05,-1.739703,1.739703
6.06,-1.739694,1.739694
6.07,-1.739659,1.739659
6.08,-1.739607,1.739607
6.09,-1.739544,1.739544
6.1,-1.739426,1.739426
6.11,-1.739291,1.739291
6.12,-1.73917,1.73917
6.13,-1.739052,1.739052
6.14,-1.738912,1.738912
6.15,-1.73871,1.73871
6.16,-1.738528,1.738528
6.17,-1.738366,1.738366
6.18,-1.738148,1.738148
